pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,0.8830873669946058,0.9011650526387084,55,TOMM22;ARIH2;TOMM40;MTX2;RALA;UBL5;TIMM8A;PMPCA;PMPCB;NDUFA13;TIMM9,GO:BP,0.6411017648029028,0.23556468318997129,0.018094519761962066,Interaction
GOBP_PROTEIN_PROCESSING,0.8830873669946058,0.8832263156397212,30,DHCR24;PARP1;CTSG;PMPCA;PMPCB;DDI2,GO:BP,0.6414377052013133,0.2626905670137057,0.018779314915270923,Interaction
GOBP_REGULATION_OF_ACTION_POTENTIAL,0.8833348963323888,-0.8589493923958514,12,BIN1;ATP2A2,GO:BP,0.6422099447513813,-0.3106162011440495,0.02254392022363338,Interaction
GOBP_POSITIVE_REGULATION_OF_TRANSLATION,0.8845727477885457,0.8855573998136025,36,RBM3;NIBAN1;C1QBP;AGO2;SH3BGRL;AKT2;EEF2;EIF6;PAIP1;EIF3E;ELAVL1;PKM;RPL5;RPS4X;SSB,GO:BP,0.6442964480874317,0.2526766095776335,0.018536313145709988,Interaction
GOBP_TRICARBOXYLIC_ACID_METABOLIC_PROCESS,0.8845727477885457,-0.8558349015805113,10,GLUD1;ASS1;ACO2;ACO1;IDH3G;IDH2;IDH3B;CS;IDH3A;IDH1,GO:BP,0.6439260563380281,-0.33000475511174515,0.022435040084764258,Interaction
GOBP_HEART_PROCESS,0.885159935669531,0.9008477054840859,65,MYL2;MYH7;MYL3;TNNC1;TNNI1;CAV1;THRB;JPH2;TPM1,GO:BP,0.6453178068898593,0.22793314516940139,0.01770833826848285,Interaction
GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION,0.885841525836854,-0.855511405022146,12,NES;PAFAH1B1;FLNA;ITGB1,GO:BP,0.6464088397790055,-0.30937294445505764,0.022440461192324648,Interaction
GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION,0.88751573368189,0.8844092509456534,33,FLT1;THBS4;NIBAN1;RACK1;MAPK1;FBN1;XRCC6,GO:BP,0.6490145672664953,0.25722155300662886,0.018481206677385877,Interaction
GOBP_POSTSYNAPSE_ORGANIZATION,0.88751573368189,0.8798153824551013,29,CAPRIN1;ACTN2;ACTB;ACTN1,GO:BP,0.6494162746123018,0.26459530908826545,0.018719117669141902,Interaction
GOBP_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY,0.88751573368189,-0.8584808544348593,14,CALR;PPP5C;UFM1,GO:BP,0.6489832007073386,-0.2971998235157449,0.02238096044606272,Interaction
